S11	Q2	score=0.8223	SAME	資料問:胸鎖関節の関節包を補強する靭帯	アプリ問:胸鎖関節関節包を補強する靭帯を3つ答えよ。	資料答:胸鎖靭帯、肋鎖靭帯、鎖骨間靭帯	アプリ答:胸鎖靭帯／肋鎖靭帯／鎖骨間靭帯
S13	Q2	score=0.6672	DIFF	資料問:肘関節をつくる3つの関節、関節包を補強する靭帯	アプリ問:胸鎖関節関節包を補強する靭帯を3つ答えよ。	資料答:腕尺関節、腕橈関節、上橈尺関節/内側側副靭帯、外側側副靭帯	アプリ答:胸鎖靭帯／肋鎖靭帯／鎖骨間靭帯
S12	Q6	score=0.6925	DIFF	資料問:回旋筋腱板	アプリ問:回旋筋腱板をなす筋を4つ答えよ。	資料答:小円筋、棘上筋、棘下筋、肩甲下筋	アプリ答:肩甲下筋／棘上筋／棘下筋／小円筋
S23	Q18	score=0.8958	SAME	資料問:上肢体から上腕骨に至る筋	アプリ問:上肢帯から上腕骨に至る筋を7つ答えよ。	資料答:三角筋、烏口腕筋、大円筋、肩甲下筋、棘上筋、棘下筋、小円筋	アプリ答:三角筋／烏口腕筋／大円筋／肩甲下筋／棘上筋／棘下筋／小円筋
S37	Q79	score=0.7267	DIFF	資料問:母指球筋	アプリ問:母指球筋を4つ答えよ。	資料答:（橈側）短母指外転筋、母指対立筋、短母指屈筋、母指内転筋（尺側）	アプリ答:短母指外転筋／母指対立筋／短母指屈筋／母指内転筋
S38	Q83	score=0.7267	DIFF	資料問:小指球筋	アプリ問:小指球筋を3つ答えよ。	資料答:（橈側）小指対立筋、短小指屈筋、小指外転筋（尺側）	アプリ答:小指外転筋／小指対立筋／短小指屈筋
S43	Q94	score=0.59	SAME	資料問:肩甲骨の上方回旋	アプリ問:肩甲骨の上方回旋にあずかる筋を2つ答えよ。	資料答:僧帽筋、前鋸筋	アプリ答:僧帽筋／前鋸筋
S44	Q95	score=0.59	DIFF	資料問:肩甲骨の下方回旋	アプリ問:肩甲骨の下方回旋にあずかる筋を5つ答えよ。	資料答:大・小菱形筋、肩甲挙筋、大胸筋、小胸筋、広背筋	アプリ答:菱形筋／肩甲挙筋／大胸筋／小胸筋／広背筋
S62	Q111	score=0.8042	DIFF	資料問:上腕動脈の枝	アプリ問:上腕動脈の枝を3つ答えよ。	資料答:上腕深動脈、上尺側側副動脈、下尺側側副動脈、（肘関節動脈網）	アプリ答:上腕深動脈／上尺側側副動脈／下尺側側副動脈
S64	Q113	score=0.8042	DIFF	資料問:橈骨動脈の枝	アプリ問:橈骨動脈の枝を6つ答えよ。	資料答:橈側反回動脈、掌側・背側手根枝、浅掌枝、母指主動脈、深掌動脈弓	アプリ答:橈側反回動脈／掌側手根枝／背側手根枝／浅掌枝／母指主動脈／深掌動脈弓
S65	Q114	score=0.8042	DIFF	資料問:尺骨動脈の枝	アプリ問:尺骨動脈の枝を6つ答えよ。	資料答:尺側反回動脈、総骨間動脈、背側・掌側手根枝、深掌枝、浅掌動脈弓	アプリ答:尺側反回動脈／総骨間動脈／背側手根枝／掌側手根枝／深掌枝／浅掌動脈弓
S73	Q119	score=0.7265	SAME	資料問:外側神経束から起こる枝	アプリ問:腕神経叢の外側神経束から起こる枝を答えよ。	資料答:外側胸筋神経	アプリ答:外側胸筋神経
S74	Q120	score=0.6954	SAME	資料問:内側神経束から起こる枝	アプリ問:腕神経叢の内側神経束から起こる枝を3つ答えよ。	資料答:内側胸筋神経、内側上腕皮神経、内側前腕皮神経	アプリ答:内側胸筋神経／内側上腕皮神経／内側前腕皮神経
S75	Q121	score=0.6739	SAME	資料問:後神経束から起こる枝	アプリ問:腕神経叢の後神経束から起こる枝を2つ答えよ。	資料答:肩甲下神経、胸背神経	アプリ答:肩甲下神経／胸背神経
S90	Q124	score=0.8487	SAME	資料問:脛骨と腓骨の連結	アプリ問:脛骨と腓骨の連結を3つ答えよ。	資料答:脛腓関節、脛腓靭帯結合、下腿骨間膜	アプリ答:脛腓関節／脛腓靭帯結合／下腿骨間膜
S97	Q141	score=0.8371	DIFF	資料問:内寛骨筋	アプリ問:内寛骨筋を答えよ。	資料答:腸腰筋、腸骨筋膜	アプリ答:腸腰筋
S98	Q141	score=0.5814	DIFF	資料問:外寛骨筋	アプリ問:内寛骨筋を答えよ。	資料答:大殿筋、大腿筋膜張筋、中殿筋、小殿筋、梨状筋、内閉鎖筋、上双子筋、下双子筋、大腿方形筋、外閉鎖筋	アプリ答:腸腰筋
S138	Q145	score=0.7919	SAME	資料問:筋裂孔を通る筋、神経	アプリ問:筋裂孔を通る筋と神経を答えよ。	資料答:腸腰筋、大腿神経	アプリ答:腸腰筋／大腿神経
