1	S13	Q2	score=0.6672	margin=0.186	資料問:肘関節をつくる3つの関節、関節包を補強する靭帯	アプリ問:胸鎖関節関節包を補強する靭帯を3つ答えよ。	資料答:腕尺関節、腕橈関節、上橈尺関節/内側側副靭帯、外側側副靭帯	アプリ答:胸鎖靭帯／肋鎖靭帯／鎖骨間靭帯
2	S12	Q6	score=0.6925	margin=0.5574	資料問:回旋筋腱板	アプリ問:回旋筋腱板をなす筋を4つ答えよ。	資料答:小円筋、棘上筋、棘下筋、肩甲下筋	アプリ答:肩甲下筋／棘上筋／棘下筋／小円筋
3	S37	Q79	score=0.7267	margin=0.2267	資料問:母指球筋	アプリ問:母指球筋を4つ答えよ。	資料答:（橈側）短母指外転筋、母指対立筋、短母指屈筋、母指内転筋（尺側）	アプリ答:短母指外転筋／母指対立筋／短母指屈筋／母指内転筋
4	S38	Q83	score=0.7267	margin=0.2267	資料問:小指球筋	アプリ問:小指球筋を3つ答えよ。	資料答:（橈側）小指対立筋、短小指屈筋、小指外転筋（尺側）	アプリ答:小指外転筋／小指対立筋／短小指屈筋
5	S44	Q95	score=0.59	margin=0.1414	資料問:肩甲骨の下方回旋	アプリ問:肩甲骨の下方回旋にあずかる筋を6つ答えよ。	資料答:大・小菱形筋、肩甲挙筋、大胸筋、小胸筋、広背筋	アプリ答:大菱形筋／小菱形筋／肩甲挙筋／大胸筋／小胸筋／広背筋
6	S62	Q111	score=0.8042	margin=0.3042	資料問:上腕動脈の枝	アプリ問:上腕動脈の枝を3つ答えよ。	資料答:上腕深動脈、上尺側側副動脈、下尺側側副動脈、（肘関節動脈網）	アプリ答:上腕深動脈／上尺側側副動脈／下尺側側副動脈
7	S64	Q113	score=0.8042	margin=0.1521	資料問:橈骨動脈の枝	アプリ問:橈骨動脈の枝を6つ答えよ。	資料答:橈側反回動脈、掌側・背側手根枝、浅掌枝、母指主動脈、深掌動脈弓	アプリ答:橈側反回動脈／掌側手根枝／背側手根枝／浅掌枝／母指主動脈／深掌動脈弓
8	S65	Q114	score=0.8042	margin=0.1521	資料問:尺骨動脈の枝	アプリ問:尺骨動脈の枝を6つ答えよ。	資料答:尺側反回動脈、総骨間動脈、背側・掌側手根枝、深掌枝、浅掌動脈弓	アプリ答:尺側反回動脈／総骨間動脈／背側手根枝／掌側手根枝／深掌枝／浅掌動脈弓
9	S97	Q141	score=0.8371	margin=0.6385	資料問:内寛骨筋	アプリ問:内寛骨筋を答えよ。	資料答:腸腰筋、腸骨筋膜	アプリ答:腸腰筋
10	S98	Q141	score=0.5814	margin=0.2085	資料問:外寛骨筋	アプリ問:内寛骨筋を答えよ。	資料答:大殿筋、大腿筋膜張筋、中殿筋、小殿筋、梨状筋、内閉鎖筋、上双子筋、下双子筋、大腿方形筋、外閉鎖筋	アプリ答:腸腰筋
11	S134	Q232	score=0.6976	margin=0.2635	資料問:前脛骨動脈の枝	アプリ問:後脛骨動脈の枝を3つ答えよ。	資料答:足背動脈、弓状動脈	アプリ答:腓骨動脈／内側足底動脈／外側足底動脈
12	S135	Q232	score=0.8294	margin=0.3953	資料問:後脛骨動脈の枝	アプリ問:後脛骨動脈の枝を3つ答えよ。	資料答:腓骨動脈、内側・外側足底動脈	アプリ答:腓骨動脈／内側足底動脈／外側足底動脈
13	S149	Q247	score=0.62	margin=0.145	資料問:頭蓋と脊柱の連結	アプリ問:頭蓋と脊柱の連結をする靭帯を4つ答えよ。	資料答:環椎後頭関節、環軸関節（正中環軸関節、外側環軸関節）、蓋膜、環椎十字靭帯（環椎横靭帯、縦束）、翼状靭帯、歯尖靭帯	アプリ答:蓋膜／環椎十字靭帯／翼状靭帯／歯尖靭帯
14	S157	Q255	score=0.6162	margin=0.1457	資料問:後頭下三角を構成する筋、ここを通る血管・神経	アプリ問:後頭下三角をつくる筋を3つ答えよ。	資料答:大後頭直筋、上頭斜筋、下頭斜筋/椎骨動脈、後頭下神経	アプリ答:大後頭直筋／上頭斜筋／下頭斜筋
15	S181	Q303	score=0.8767	margin=0.4541	資料問:冠状静脈洞に注ぐ静脈	アプリ問:冠状静脈洞に注ぐ静脈を5つ答えよ。	資料答:大・中・小心臓動脈、左心室後静脈、左心房後静脈	アプリ答:大心臓静脈／中心臓静脈／小心臓静脈／左心室後静脈／左心房後静脈
16	S189	Q316	score=0.8042	margin=0.4178	資料問:大動脈弓の枝	アプリ問:大動脈弓の枝を3つ答えよ。	資料答:腕頭動脈、左総頸動脈、左鎖骨下動脈	アプリ答:腕頭動脈／左総頚動脈／左鎖骨下動脈
17	S195	Q328	score=0.7187	margin=0.4373	資料問:鼡径靭帯の内側端の近くで、靭帯の繊維の一部は後下方に向かって放散し恥骨上縁についた血管裂孔の内側端	アプリ問:鼡径靭帯の内側端の近くで、靭帯の線維の一部が後下方に向かって放散して恥骨上縁に付き、血管裂孔の内側縁をつくる靭帯をなんというか。	資料答:裂孔靭帯	アプリ答:裂孔靱帯
18	S196	Q329	score=0.7351	margin=0.4953	資料問:鼡径靭帯の内側部から正中線上の白線に向かって斜め上方向に走る繊維束	アプリ問:鼡径靭帯の内側部から正中線上の白線に向かって斜め上方に弓状に走る靭帯をなんというか。	資料答:反転靭帯	アプリ答:反転靱帯
